race_id,shrinkage,incumbent_discount,one_sided_multiplier,observation_prior_strength,cap,layer_2_margin_dem,candidate_war_adjustment_dem,war_adjusted_margin_dem,actual_dem_margin,layer_2_absolute_error,war_adjusted_absolute_error,absolute_error_change
OH-8,0.7,1.0,1.0,0.0,4.0,-26.136666666666667,-0.5105288461538461,-26.647195512820513,-29.276914913450646,3.1402482467839796,2.629719400630133,-0.5105288461538464
OH-9,0.7,1.0,1.0,0.0,4.0,-3.036666666666667,1.1241176470588237,-1.9125490196078434,13.267197209200916,16.303863875867584,15.179746228808758,-1.124117647058826
OH-10,0.7,1.0,1.0,0.0,4.0,-7.636666666666667,-4.0,-11.636666666666667,-23.334102674008378,15.697436007341711,11.697436007341711,-4.0
OH-11,0.7,1.0,1.0,0.0,4.0,57.46333333333333,0.0,57.46333333333333,55.50693060127023,1.956402732063104,1.956402732063104,0.0
OH-12,0.7,1.0,1.0,0.0,4.0,-35.03666666666667,-0.5492307692307692,-35.58589743589744,-38.53611210663307,3.499445439966401,2.950214670735633,-0.5492307692307676
OH-13,0.7,1.0,1.0,0.0,4.0,0.6633333333333327,0.0,0.6633333333333327,5.352502909542244,4.689169576208911,4.689169576208911,0.0
OH-14,0.7,1.0,1.0,0.0,4.0,-19.03666666666667,-2.3120588235294117,-21.34872549019608,-23.4826346337719,4.445967967105233,2.1339091435758206,-2.312058823529412
OH-15,0.7,1.0,1.0,0.0,4.0,-10.936666666666667,0.0,-10.936666666666667,-13.9195465888693,2.982879922202633,2.982879922202633,0.0
OK-1,0.7,1.0,1.0,0.0,4.0,-25.536666666666665,-0.02423076923076929,-25.560897435897434,-26.478511317158823,0.9418446504921576,0.9176138812613885,-0.024230769230769056
OK-2,0.7,1.0,1.0,0.0,4.0,-55.53666666666667,0.0,-55.53666666666667,-49.055992955557855,6.480673711108814,6.480673711108814,0.0
OK-3,0.7,1.0,1.0,0.0,4.0,-48.73666666666667,0.5682352941176471,-48.16843137254902,-49.07873713164654,0.34207046497986937,0.9103057590975183,0.568235294117649
OK-4,0.7,1.0,1.0,0.0,4.0,-35.73666666666667,0.7337330316742081,-35.002933634992466,-33.49514130734905,2.2415253593176203,1.5077923276434149,-0.7337330316742054
OK-5,0.7,1.0,1.0,0.0,4.0,-21.036666666666665,2.1699999999999995,-18.866666666666667,-21.59752111457118,0.5608544479045143,2.7308544479045125,2.169999999999998
OR-1,0.7,1.0,1.0,0.0,4.0,39.16333333333333,-0.4735294117647058,38.68980392156862,35.98469586743295,3.1786374659003798,2.705108054135671,-0.47352941176470864
OR-2,0.7,1.0,1.0,0.0,4.0,-28.536666666666665,-1.8549999999999998,-30.391666666666666,-35.14591351449416,6.609246847827496,4.7542468478274955,-1.8550000000000004
OR-3,0.7,1.0,1.0,0.0,4.0,47.16333333333333,-2.3625000000000003,44.80083333333333,43.63276124667858,3.5305720866547503,1.1680720866547532,-2.362499999999997
OR-4,0.7,1.0,1.0,0.0,4.0,10.563333333333333,0.42,10.983333333333333,7.46644567458129,3.096887658752043,3.516887658752043,0.41999999999999993
OR-5,0.7,1.0,1.0,0.0,4.0,6.763333333333334,-0.5599999999999999,6.203333333333334,-2.0781076948919948,8.84144102822533,8.281441028225329,-0.5600000000000005
OR-6,0.7,1.0,1.0,0.0,4.0,11.063333333333333,0.0,11.063333333333333,2.449240259938786,8.614093073394546,8.614093073394546,0.0
PA-1,0.7,1.0,1.0,0.0,4.0,0.4633333333333325,-4.0,-3.5366666666666675,-9.734335020959223,10.197668354292556,6.197668354292556,-4.0
PA-2,0.7,1.0,1.0,0.0,4.0,42.56333333333333,0.3425,42.905833333333334,51.3035466539535,8.740213320620164,8.397713320620163,-0.34250000000000114
PA-4,0.7,1.0,1.0,0.0,4.0,18.763333333333332,-1.128076923076923,17.63525641025641,22.578077075125755,3.814743741792423,4.942820664869345,1.1280769230769216
